trade_date,ts_code,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2010-01-04,000001.SZ,23.71,0.8273,0.936,0.91,119.9115,78.794,3.8573,5.0733,4.9464,0.0,,310543.3762,292411.4263,258459.8097,7362983.4497,6933074.9176
2010-01-05,000001.SZ,23.3,1.9031,2.1531,2.05,117.8379,77.4315,3.7906,4.9856,4.8608,0.0,,310543.3762,292411.4263,258459.8097,7235660.6655,6813186.2328
2010-01-06,000001.SZ,22.9,1.4095,1.5946,1.27,115.815,76.1022,3.7255,4.9,4.7774,0.0,,310543.3762,292411.4263,258459.8097,7111443.315,6696221.6623
2010-01-07,000001.SZ,22.65,1.2152,1.3748,0.99,114.5506,75.2714,3.6849,4.8465,4.7252,0.0,,310543.3762,292411.4263,258459.8097,7033807.4709,6623118.8057
2010-01-08,000001.SZ,22.6,0.9868,1.1164,0.81,114.2977,75.1052,3.6767,4.8358,4.7148,0.0,,310543.3762,292411.4263,258459.8097,7018280.3021,6608498.2344
2010-01-11,000001.SZ,22.6,1.5145,1.7134,1.19,114.2977,75.1052,3.6767,4.8358,4.7148,0.0,,310543.3762,292411.4263,258459.8097,7018280.3021,6608498.2344
2010-01-12,000001.SZ,22.45,2.0238,2.2897,1.44,113.5391,74.6067,3.6523,4.8037,4.6835,0.0,,310543.3762,292411.4263,258459.8097,6971698.7957,6564636.5204
2010-01-13,000001.SZ,20.96,3.1977,3.6177,2.24,106.0036,69.6551,3.4099,4.4849,4.3727,0.0,,310543.3762,292411.4263,258459.8097,6508989.1652,6128943.4952
2010-01-14,000001.SZ,20.97,1.7824,2.0165,1.0,106.0541,69.6883,3.4115,4.487,4.3747,0.0,,310543.3762,292411.4263,258459.8097,6512094.5989,6131867.6095
2010-01-15,000001.SZ,21.43,1.845,2.0874,0.97,108.3805,71.217,3.4864,4.5855,4.4707,0.0,,310543.3762,292411.4263,258459.8097,6654944.552,6266376.8656
2010-01-18,000001.SZ,21.47,1.194,1.3508,0.58,108.5828,71.3499,3.4929,4.594,4.4791,0.0,,310543.3762,292411.4263,258459.8097,6667366.287,6278073.3227
2010-01-19,000001.SZ,22.23,2.2253,2.5177,1.11,112.4265,73.8756,3.6165,4.7566,4.6376,0.0,,310543.3762,292411.4263,258459.8097,6903379.2529,6500306.0066
2010-01-20,000001.SZ,21.38,1.6786,1.8991,0.82,108.1277,71.0508,3.4782,4.5748,4.4603,0.0,,310543.3762,292411.4263,258459.8097,6639417.3832,6251756.2943
